Object,Close-Approach (CA) Date,V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity
(2024 SJ1),2024-Oct-01 06:47 ± < 00:01,10.63,10.63,26.7,12 m -   27 m,0
(2024 RN15),2024-Oct-01 15:27 ± < 00:01,7.21,7.19,25.3,23 m -   52 m,0
(2024 RH45),2024-Oct-01 16:54 ± < 00:01,8.17,8.14,24.9,27 m -   61 m,0
(2024 RO2),2024-Oct-02 06:18 ± < 00:01,9.19,9.16,24.9,27 m -   61 m,1
(2024 RJ16),2024-Oct-02 14:13 ± < 00:01,6.93,6.92,25.9,18 m -   40 m,0
(2024 SS),2024-Oct-02 22:45 ± < 00:01,7.51,7.48,25.8,18 m -   41 m,0
(2024 SR4),2024-Oct-03 10:30 ± < 00:01,11.62,11.61,26.7,12 m -   27 m,0
(2024 SD3),2024-Oct-03 15:49 ± < 00:01,18.23,18.22,26.1,16 m -   36 m,0
(2024 SR1),2024-Oct-04 02:03 ± < 00:01,5.91,5.88,27.3,9.2 m -   21 m,0
(2024 SY4),2024-Oct-04 23:06 ±    00:38,4.92,4.9,27.8,7.3 m -   16 m,0
(2024 RJ32),2024-Oct-05 03:17 ± < 00:01,6.58,6.56,24.5,33 m -   75 m,0
(2024 SL3),2024-Oct-05 05:59 ± < 00:01,12.6,12.59,26.3,15 m -   33 m,0
(2023 GM1),2024-Oct-05 11:35 ±    00:59,5.2,5.19,27.3,9.4 m -   21 m,0
(2024 SY5),2024-Oct-05 13:59 ±    00:03,6.02,5.98,28.1,6.4 m -   14 m,0
(2024 SZ1),2024-Oct-05 19:11 ±    00:02,20.26,20.26,25,27 m -   60 m,0
(2014 VA),2024-Oct-05 21:22 ± < 00:01,6.3,6.29,24.4,35 m -   78 m,0
(2024 SH3),2024-Oct-05 22:37 ±    00:02,8.22,8.22,25.8,18 m -   41 m,0
(2022 SU21),2024-Oct-06 05:04 ± 2_16:19,21.1,21.1,24.5,33 m -   74 m,0
(2024 SD6),2024-Oct-06 16:39 ± < 00:01,6.78,6.75,27.5,8.2 m -   18 m,0
(2022 FC5),2024-Oct-06 20:22 ± < 00:01,19.32,19.31,24.8,29 m -   66 m,0
671076 (2014 FP47),2024-Oct-07 03:33 ± < 00:01,8.64,8.63,22.4,90 m -  200 m,1
(2024 SU3),2024-Oct-07 03:33 ±    00:05,9.05,9.03,25.9,17 m -   39 m,0
(2024 SF5),2024-Oct-07 07:49 ±    00:35,4.81,4.79,24.8,29 m -   64 m,0
(2016 JG38),2024-Oct-08 15:12 ± < 00:01,11.97,11.97,24,42 m -   93 m,0
(2018 QE),2024-Oct-09 04:03 ± 5_23:33,4.4,4.27,27.7,7.7 m -   17 m,0
(2024 SM),2024-Oct-10 12:21 ±    00:03,6.67,6.65,25.4,22 m -   50 m,0
363027 (1998 ST27),2024-Oct-12 01:52 ± < 00:01,16.63,16.62,19.6,0.578±0.228 km,2
(2008 UU95),2024-Oct-12 11:25 ± < 00:01,15.61,15.6,23.6,50 m -  110 m,0
(2024 SM4),2024-Oct-13 22:23 ±    00:33,13.81,13.81,23.8,45 m -  100 m,0
(2021 TK11),2024-Oct-14 05:28 ± 2_12:07,10.58,10.57,28.6,5.2 m -   12 m,0
(2022 TB41),2024-Oct-15 17:43 ± 3_20:02,6.04,6.02,29.8,3.0 m -  6.6 m,0
(2024 SD2),2024-Oct-17 00:36 ±    00:08,6.11,6.09,25.6,20 m -   45 m,0
(2019 UH14),2024-Oct-17 19:47 ±    09:01,10.4,10.39,23.8,46 m -  100 m,1
(2024 RV50),2024-Oct-18 17:02 ±    00:03,15.57,15.57,21.1,160 m -  350 m,1
(2024 SH1),2024-Oct-20 18:17 ±    00:22,2.68,2.61,27,11 m -   24 m,0
(2024 SE4),2024-Oct-22 17:18 ±    04:03,2.22,2.15,27.7,7.5 m -   17 m,0
(2015 HM1),2024-Oct-24 04:36 ± 4_20:05,10.88,10.87,25.2,24 m -   54 m,0
363305 (2002 NV16),2024-Oct-24 15:47 ± < 00:01,4.87,4.85,21.4,140 m -  310 m,1
(2021 UE2),2024-Oct-24 21:37 ±    13:45,7.12,7.11,24.7,30 m -   68 m,0
(2023 TG14),2024-Oct-24 23:34 ±    00:41,6.9,6.88,25.8,18 m -   40 m,0
(2007 UT3),2024-Oct-26 20:04 ± 4_12:08,10.38,10.37,25.9,18 m -   39 m,0
(2020 WG),2024-Oct-28 06:35 ± < 00:01,9.43,9.42,21.7,120 m -  270 m,1
(2021 CV1),2024-Oct-30 19:46 ± 3_08:55,23.6,23.6,24.9,28 m -   63 m,0
(2023 KX3),2024-Oct-31 15:28 ±    00:38,2.44,2.41,25.8,19 m -   42 m,0
(2022 UD21),2024-Oct-31 22:11 ± 2_11:59,11.75,11.74,25.6,20 m -   45 m,0
(2016 VA),2024-Nov-01 22:52 ±    14:48,21.17,21.13,27.6,8.0 m -   18 m,0
(2023 VS),2024-Nov-04 14:51 ±    00:36,4.32,4.31,29.8,2.9 m -  6.4 m,0
(2019 WB7),2024-Nov-11 12:35 ± 8_08:05,5.7,5.69,24.4,35 m -   78 m,0
(2020 UL3),2024-Nov-12 12:27 ± < 00:01,10.46,10.44,23.2,61 m -  140 m,1
(2020 AB2),2024-Nov-13 03:55 ± 4_23:53,7.2,7.19,27,11 m -   24 m,0
(2019 VU5),2024-Nov-14 21:12 ± 9_20:56,23.31,23.31,24.4,35 m -   77 m,0
(2019 VL5),2024-Nov-14 23:43 ± < 00:01,8.49,8.47,25.9,18 m -   40 m,0
(2023 WK3),2024-Nov-18 13:40 ±    01:28,14.48,14.47,20.6,200 m -  460 m,1
(2012 KO11),2024-Nov-20 02:27 ± 3_18:47,9.43,9.41,24.6,32 m -   71 m,0
(2020 VX4),2024-Nov-20 20:34 ± 1_12:54,10.48,10.47,27.5,8.4 m -   19 m,0
(2009 WB105),2024-Nov-25 00:44 ± < 00:01,18.9,18.89,23.5,53 m -  120 m,0
(2006 WB),2024-Nov-26 18:00 ± < 00:01,4.2,4.1,22.8,73 m -  160 m,2
(2018 DC4),2024-Nov-29 07:28 ± 1_03:07,4.49,4.47,27.3,9.2 m -   21 m,0
